slug	version	fichier	sha512	role	type
aether	1.21.1-1.5.11-fabric	aether-1.21.1-1.5.11-fabric.jar	de78675eb2719965cb1378113cc443c43039ff706ed70824355267f40286ab3abfb3065778ab711a43615c818362dad5e4dca672c3568d90b14b1a86a9037e04	candidat	release
amendments	1.21-2.1.10	amendments-1.21-2.1.10-fabric.jar	2b978c857e9aa6af06471137fb46c6adf08f9ab617773dda0ec499716a19549e69e74e0078b69d8c1f384cb8557770974d43efb255a6cd8d1dacd8f89b14ae33	candidat	release
anti-enderman-grief	1.0.0.1+mod	anti-enderman-grief-1.0.0.1.jar	fd91b37ed44a4bd4b027849726f2206c3232814ecf53dcd079a70bb180e4ac7af5fdf0b07dc5f7bf1917044ff6b96f4d7d9f9b34833146ffbbd1d12d99b809eb	candidat	release
aquamirae	7.2.7	aquamirae-fabric-1.21.1-7.2.7.jar	09fdfacc5f9558d2b427e469013cef85ffb3df3d29c6e43f25351b054d62c7338b21c4457aa98d801048fa5e0b44ad6287340c945cceff06b8f59c28a5929376	candidat	release
better-archeology	1.21.1-1.3.8	betterarcheology-fabric-1.21.1-1.3.8.jar	26302ae3a6da25b2c9da798c69ece365af6bdd44a579a95a033860795a8fa8506fcc2776a69cdbb971d260e974e1f5d080ff73bcd1990453b3045853386f787e	candidat	release
better-than-mending	2.2.0	BetterThanMending-2.2.0.jar	04f3bb5b2f75e35e38e2dad1b3cf37ecef4f5221cb25a4eff884409dcd1ecf13b04352d4bd1214fc58c626228927abe822bd36848d992e2ab8c5de35d2e870d8	candidat	release
bosses-of-mass-destruction	1.10.2-1.21.1	BOMD-1.10.2-1.21.1.jar	64e434b0841d594857191eeed066927f3ade0cd71e39e458fffe3208096398123745de57d1e9fce24842496559cb4614e58f34f85201df093647e20dc41dff8f	candidat	beta
bountiful	8.0.0-beta.2	bountiful-fabric-8.0.0-beta.2.jar	3a599d9aeb1c329898ead8031f0c6ac1d3c7ab626a144bb4aeb3d53fe5a9dcece4df9db753c822c76e92f7ffeaa33807b84af99e327ac86019ef202584290b4b	candidat	beta
c2me-fabric	0.3.0+alpha.0.364+1.21.1	c2me-fabric-mc1.21.1-0.3.0+alpha.0.364.jar	4a3509986c1c5dc28be8b4137c463c6ff1d9fe2312052673a3a2d0c75c527d6dd40c3b2400af9fb7b416c5b430f3d1dc9f1db2b061dac8ae56ae4a5955edaa68	candidat	alpha
chunky	1.4.23	Chunky-Fabric-1.4.23.jar	02ca6af1ed31e9ebc51af20948a2afb670fe653c80aaeb990947caf6b655d6ab8eda3f1b64ef478633b67ef5d2fd0d1fe67e2107a4a522ef45fd1f183c9a6c9c	candidat	release
clumps	19.0.0.1	Clumps-fabric-1.21.1-19.0.0.1.jar	0aa8e3508d0a40ef814d4064c0b6cadba6326128dd878fe69f30677c889cec4ccb8f639c22bdd7083a73ae8fa76e1c115b5e4b1885904dc1244b02ab2f728e78	candidat	release
crafting-tweaks	21.1.11+fabric-1.21.1	craftingtweaks-fabric-1.21.1-21.1.11.jar	5255861f9b1dfb26112994902d6b9c7705a83a6764c8286f8763f7ee3ce2dd480d96f4768b687c0810f7d881006051bb48a3f385e558ce688f319eea689d8d90	candidat	release
critters-and-companions	2.7.0	crittersandcompanions-fabric-1.21.1-2.7.0.jar	27f155e348efe985cd0872ed34d8cd45cb78b2d61e2454b657b1f2e4a525b3a3bc324413064d7b3f55bdab7d6a2f5b6ca22b7af979c306d73b18d4c4c1149182	candidat	release
ct-overhaul-village	3.6.3	[Fabric]ctov-3.6.3.jar	743a8ae53db490536232a781d1e102927ccd439b3c0e864eeea4d6a2a97deeb9bc877c47a33b98f2bcdbbf25bc4971da132afef459bc9a1ce4406f0cd6dd67a4	candidat	release
deeperdarker	1.3.3-plus-b-fabric+1.21	deeperdarker-fabric-1.21-1.3.3-plus-b.jar	e549ebb6a408ac852267a1175c00a01d722c6290754cac030221e2390ed8805caf24d29ede5f87e868ad741141a43dfc5e6be9e68dc7390b9669213fee032175	candidat	release
